"title","company","salary","location","description","skills","url","crawl_time"
"Khối CNTT - CV/CVC/CVCC Vận hành hạ tầng","NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN LỘC PHÁT VIỆT NAM LPBANK","Negotiable","Quận Hoàn Kiếm, Hà Nội","Your role & responsibilities Your skills & qualifications Benefits for you Thưởng các Ngày lễ, Tết theo chính sách ngân hàng từng thời kỳ (Từ 16-18 tháng lương/ năm) Đầy đủ các chế độ, quyền lợi của cán bộ nhân viên Ngân hàng. Môi trường năng động, thân thiện, gần gũi. Có nhiều cơ hội học đào tạo, học hỏi và phát triển. Chính sách review lương hàng năm Cung cấp thiết bị làm việc Du lịch/team building hằng năm Tham gia đầy đủ bảo hiểm (BHXH/BHYT) 12 ngày phép năm Làm việc từ 08h00 đến 17h00, từ Thứ 2 đến Thứ 6 hàng tuần. Từ 08h00 đến 12h00 sáng Thứ 7 (Tuỳ từng thời kỳ)","Oracle, MongoDB, Nginx, Server, Apache","https://topdev.vn/detail-jobs/khoi-cntt-cv-cvc-cvcc-van-hanh-ha-tang-ngan-hang-thuong-mai-co-phan-loc-phat-viet-nam-lpbank-2110868?src=topdev_home&medium=superhotjobs","2026-06-09 22:23:38.300354"
"Sales Executive","DaouKiwoom Innovation","Negotiable","Quận Bình Thạnh, Hồ Chí Minh","Department: Sales Report to: Team Sales Leader Your role & responsibilities Requirement Analysis, System Design, Coding, Code Review Your skills & qualifications Development Tools, Frameworks and Libraries, APIs and Web Services, Cloud Services, Security, Adaptability Benefits for you Competitive Salary & Benefits (13th month salary and Annual Performance Bonus) Leave & Work-Life Balance (15-day Annual Leave, Christmas Leave, 90-min menstrual leave for women) Health & Well-being (Premium Private Medical Insurance DBV, 24/7 Accident Insurance, Annual Health Check) Professional Growth & Opportunities","Sales, Business Development, Business/Sales","https://topdev.vn/detail-jobs/sales-executive-daoukiwoom-innovation-2110325?src=topdev_home&medium=superhotjobs","2026-06-09 22:23:39.913831"
"Chuyên viên Khách hàng Doanh nghiệp (1-3 năm Kinh nghiệm, thành tích Tốt và Rất Tốt) - Khu vực Long Biên, Hà Nội (2026TD451032)","MBBANK","10.000.000 VND to 35.000.000 VND","Thành phố Hà Nội, Hà Nội","Địa điểm làm việc: - Phường Long Biên, Hà Nội - Phường Việt Hưng, Hà Nội - Phường Bồ Đề, Hà Nội - Phường Phúc Lợi, Hà Nội Lưu ý quan trọng : Để đảm bảo hồ sơ được tiếp nhận xử lý, ứng viên cần nộp hồ sơ ứng tuyển trên website tuyển dụng chính thức của MBBANK tại địa chỉ: https://careers.mbbank.com.vn/ Your role & responsibilities Your skills & qualifications Benefits for you Trải nghiệm Thu nhập hấp dẫn với gói đãi ngộ toàn diện: Thưởng tháng lương 13; Thưởng thành tích 06 tháng, 1 năm ; Thưởng các dịp lễ tết trong năm ; Thưởng theo danh hiệu cá nhân và tập thể… Du lịch nghỉ dưỡng hàng năm, Khám sức khỏe định kì; Gói bảo hiểm sức khỏe cá nhân và người thân (MIC); Quà tặng và ngày nghỉ sinh nhật hưởng nguyên lương Cơ hội nghề nghiệp và phát triển bản thân: Được thử sức với các nền tảng công nghệ mới, tham gia vào những dự án chuyển đổi lớn của ngân hàng Có cơ hội học hỏi từ các Chuyên gia, lãnh đạo nội bộ hàng đầu tại MB trong lĩnh vực IT, Tài chính ngân hàng Được trải nghiệm các phương pháp học tập mới và phát triển năng lực theo lộ trình công danh. Hưởng các chính sách hỗ trợ, khuyến khích học tập, nâng cao trình độ và phát triển bản thân (chứng chỉ nghề quốc tế...) Môi trường làm việc lý tưởng với: Những phương pháp làm việc mới đầy sự linh hoạt, sáng tạo và hiệu quả Những người cộng sự thân thiện và tài năng Cơ sở vật chất, không gian làm việc xanh và hiện đại.","Ngân Hàng, Tài Chính, Core Banking, Financial, Business Development","https://topdev.vn/detail-jobs/chuyen-vien-khach-hang-doanh-nghiep-1-3-nam-kinh-nghiem-thanh-tich-tot-va-rat-tot-khu-vuc-long-bien-ha-noi-2026td451032-mbbank-2111116?src=topdev_home&medium=superhotjobs","2026-06-09 22:23:41.067756"
"Chuyên viên/Chuyên viên cao cấp Phát triển ứng dụng BackEnd","CÔNG TY CỔ PHẦN CHỨNG KHOÁN VPBANK","Negotiable","Quận Đống Đa, Hà Nội","Your role & responsibilities Predictive Analytics, Collaboration with Development Teams, Reporting, Research and Development Your skills & qualifications Learning Orientation, Database Management, Experience, Algorithmic Knowledge, Industry Knowledge, Development Tools, Problem Solving, Additional Skills Benefits for you - Thu nhập hấp dẫn, lương thưởng theo performance. - Thưởng các ngày Lễ/Tết (theo chính sách công ty từng thời kì) - Chế độ ngày phép hấp dẫn theo từng cấp bậc - Bảo hiểm bắt buộc theo LLĐ, BH sức khỏe cho CBNV tùy theo cấp bậc và thời gian công tác - Được tham gia các khóa đào tạo tùy thuộc vào khung đào tạo cho từng vị trí. - Thời gian làm việc: từ thứ 2 – thứ 6 - Môi trường làm việc năng động, thân thiện, có nhiều cơ hội học đào tạo, học hỏi và phát triển; được tham gia nhiều hoạt động văn hóa thú vị (cuộc thi về thể thao, tài năng, hoạt động team building,…)","Java, Back-End, Spring Boot","https://topdev.vn/detail-jobs/chuyen-vien-chuyen-vien-cao-cap-phat-trien-ung-dung-backend-cong-ty-co-phan-chung-khoan-vpbank-2108888?src=topdev_home&medium=superhotjobs","2026-06-09 22:23:43.518800"
"Chuyên viên Khách hàng Cá nhân (1-3 năm Kinh nghiệm, thành tích Tốt và Rất Tốt) - Khu vực Long Biên, Hà Nội (2026TD451031)","MBBANK","9.000.000 VND to 35.000.000 VND","Thành phố Hà Nội, Hà Nội","Địa điểm làm việc: - Phường Long Biên, Hà Nội - Phường Việt Hưng, Hà Nội - Phường Bồ Đề, Hà Nội - Phường Phúc Lợi, Hà Nội Lưu ý quan trọng: Để đảm bảo hồ sơ được tiếp nhận xử lý, ứng viên cần nộp hồ sơ ứng tuyển trên website tuyển dụng chính thức của MBBANK tại địa chỉ: https://careers.mbbank.com.vn/ Your role & responsibilities Your skills & qualifications Benefits for you Trải nghiệm Thu nhập hấp dẫn với gói đãi ngộ toàn diện: Thưởng tháng lương 13; Thưởng thành tích 06 tháng, 1 năm ; Thưởng các dịp lễ tết trong năm ; Thưởng theo danh hiệu cá nhân và tập thể… Du lịch nghỉ dưỡng hàng năm, Khám sức khỏe định kì; Gói bảo hiểm sức khỏe cá nhân và người thân (MIC); Quà tặng và ngày nghỉ sinh nhật hưởng nguyên lương Cơ hội nghề nghiệp và phát triển bản thân: Được thử sức với các nền tảng công nghệ mới, tham gia vào những dự án chuyển đổi lớn của ngân hàng Có cơ hội học hỏi từ các Chuyên gia, lãnh đạo nội bộ hàng đầu tại MB trong lĩnh vực IT, Tài chính ngân hàng Được trải nghiệm các phương pháp học tập mới và phát triển năng lực theo lộ trình công danh. Hưởng các chính sách hỗ trợ, khuyến khích học tập, nâng cao trình độ và phát triển bản thân (chứng chỉ nghề quốc tế...) Môi trường làm việc lý tưởng với: Những phương pháp làm việc mới đầy sự linh hoạt, sáng tạo và hiệu quả Những người cộng sự thân thiện và tài năng Cơ sở vật chất, không gian làm việc xanh và hiện đại.","Ngân Hàng, Tài Chính, Core Banking, Financial, Business Development","https://topdev.vn/detail-jobs/chuyen-vien-khach-hang-ca-nhan-1-3-nam-kinh-nghiem-thanh-tich-tot-va-rat-tot-khu-vuc-long-bien-ha-noi-2026td451031-mbbank-2111117?src=topdev_home&medium=superhotjobs","2026-06-09 22:23:43.940119"
"Technical Leader/ Technical Architect (.NET, Japanese N4+)","NEC Vietnam","Negotiable","Thành phố Hồ Chí Minh, Hồ Chí Minh","We are looking for a Technical Leader with strong Fullstack .NET development experience to lead technical execution and support project delivery for Japanese clients. This role focuses mainly on Backend development (70%) while also contributing to Frontend development (30%), system architecture, CI/CD design, and technical mentoring for the development team. Your role & responsibilities Your skills & qualifications Benefits for you Working time: Mon-Fri, Hybrid working mode 13th Month Salary + Year-End Reward (a half month) + Excellent Bonus Special allowance for foreign language certificate (up to 500USD/month) Full social package (SI, HI, UI) & Premium healthcare insurance (Bao Viet) Annual Health Check at the top healthcare center Up to 19 days of paid leave Free Japanese class; 1:1 class with native teachers Udemy account provided & Sponsor examination fee for technical certificates such as AWS, Azure, PMP, etc. Many company activities to tighten the relationship between employees: Company trip, Xmas & Year-end Party, Outing Trip, etc. Reward Most Valuable Player (MVP) for individual & team twice a year Sport clubs provided (100% sponsored by company): Football, Badminton Professional environment with clear procedures and good working facilities Onsite opportunities: short-term and long-term assignments in Japan, and APAC.",".NET, Japanese, Technical Leader, .NET Core, Technical Architect, aws, azure","https://topdev.vn/detail-jobs/technical-leader-technical-architect-net-japanese-n4-nec-vietnam-2108662?src=topdev_home&medium=superhotjobs","2026-06-09 22:23:45.871937"
"CHUYÊN VIÊN QUẢN TRỊ HỆ THỐNG BẢO MẬT","NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN TÀI LỘC (SACOMBANK)","Negotiable","Thành phố Hồ Chí Minh, Hồ Chí Minh","Your role & responsibilities Your skills & qualifications Benefits for you Được Đào tạo & làm việc cùng chuyên gia nước ngoài; mở rộng phạm vi công việc qua các Dự án số hóa; trực tiếp tác nghiệp, tham mưu cùng Ban Lãnh đạo Ngân hàng. Đảm bảo mức thu nhập cạnh tranh trên thị trường lao động. Lộ trình thăng tiến/phát triển nghề nghiệp rõ ràng, quy hoạch trở thành Cán bộ quản lý từ sau 2 năm. Cơ chế phúc lợi hấp dẫn, bao gồm: các khoản vay ưu đãi dành cho CBNV, lương thưởng cuối năm theo kết quả hoạt động kinh doanh của cá nhân & tập thể, Chế độ nghỉ mát, Bảo hiểm, khám sức khỏe định kỳ hàng năm…vv Thứ hai - Thứ sáu (tùy theo dự án, sự phân công của BLĐ)","Blockchain, Network, AI, IT Security, Security Engineer","https://topdev.vn/detail-jobs/chuyen-vien-quan-tri-he-thong-bao-mat-ngan-hang-thuong-mai-co-phan-sai-gon-tai-loc-sacombank-2106035?src=topdev_home&medium=superhotjobs","2026-06-09 22:23:46.434485"
"IT Customer Support Specialist","Laidon Group","Negotiable","Quận Tân Bình, Hồ Chí Minh","About Laidon Laidon, a Certified SAP Partner, operates globally with offices in the US, Japan, and Vietnam, and sales presence in Australia, Germany, England, and Singapore. Laidon developed SimpleMDG, a powerful master data governance solution on SAP BTP that fortifies master data foundations, enhances operational excellence, ensures compliance, and drives innovation at scale. With over 100 out-of-the-box S/4HANA data objects and workflows, SimpleMDG supports powerful governance while eliminating the need for slow, complex, and expensive customizations. SimpleMDG is the master data governance and management platform for enterprises running SAP. About the role We seek a qualified Software Customer Support Specialist to ensure our customers have exceptional experience with SimpleMDG. You will provide top-notch technical support, assist in troubleshooting several types of technical issues, and offer professional guidance to help customers make the most of our product. Your dedication to customer happiness is crucial to our mission of delivering high-quality service and cultivating long-term customer relationships. Standout candidates will be excellent problem-solvers with outstanding communication and customer service skills. Your role & responsibilities Your skills & qualifications Benefits for you 15 days of annual leave/ 13+ salary bonus Health insurance and Social Insurance under Government's regulations Providing customized training courses according to business needs and upon your request Travel opportunities Opportunity to training both technical and soft skills to develop your career path Working time: 08:30 - 18:00 from Monday to Friday","IT Helpdesk, IT Support, Jira","https://topdev.vn/detail-jobs/it-customer-support-specialist-laidon-group-2104373?src=topdev_home&medium=superhotjobs","2026-06-09 22:23:48.127030"
"Kế Toán Quản Trị Công Trình","CÔNG TY TNHH MỘT THÀNH VIÊN SEEN MIỀN NAM","25.000.000 VND to 30.000.000 VND","Thành phố Hồ Chí Minh, Hồ Chí Minh","Công ty TNHH MTV Seen Miền Nam (SEEN) là một trong những công ty chuyên về lĩnh vực xử lý nước và nước thải tại Việt Nam. Hiện tại, SEEN đang thi công thiết kế nhiều công trình mới trên khu vực toàn quốc và có nhu cầu tuyển dụng tại một số vị trí như sau: Vị trí tuyển dụng: Kế Toán Quản Trị Công Trình Số lượng tuyển: 01 người Your role & responsibilities Your skills & qualifications Benefits for you Ký hợp đồng lao động, bảo hiểm và các chế độ khác của công ty. Môi trường làm việc năng động giúp nhân viên hoàn thiện kỹ năng và kiến thức. Được tập huấn, đào tạo liên tục về chuyên môn và theo yêu cầu công việc cho những ứng viên chưa có kinh nghiệm. Tham gia các hoạt động ngoại khóa của công ty. Ngày nghỉ: phép năm, ngày nghỉ lễ, Tết theo luật hiện hành. Lương: Thỏa thuận","Kế toán","https://topdev.vn/detail-jobs/ke-toan-quan-tri-cong-trinh-cong-ty-tnhh-mot-thanh-vien-seen-mien-nam-2109421?src=topdev_home&medium=superhotjobs","2026-06-09 22:23:50.027961"
"Chuyên viên Khách hàng Doanh nghiệp (1-3 năm Kinh nghiệm, thành tích Tốt và Rất Tốt) - CN. Đan Phượng - Xã Đan Phượng, Hà Nội (2026TD451599)","MBBANK","10.000.000 VND to 35.000.000 VND","Thành phố Hà Nội, Hà Nội","Địa điểm làm việc: Xã Đan Phượng, Hà Nội Lưu ý quan trọng : Để đảm bảo hồ sơ được tiếp nhận xử lý, ứng viên cần nộp hồ sơ ứng tuyển trên website tuyển dụng chính thức của MBBANK tại địa chỉ: https://careers.mbbank.com.vn/ Your role & responsibilities Your skills & qualifications Benefits for you Trải nghiệm Thu nhập hấp dẫn với gói đãi ngộ toàn diện: Thưởng tháng lương 13; Thưởng thành tích 06 tháng, 1 năm ; Thưởng các dịp lễ tết trong năm ; Thưởng theo danh hiệu cá nhân và tập thể… Du lịch nghỉ dưỡng hàng năm, Khám sức khỏe định kì; Gói bảo hiểm sức khỏe cá nhân và người thân (MIC); Quà tặng và ngày nghỉ sinh nhật hưởng nguyên lương Cơ hội nghề nghiệp và phát triển bản thân: Được thử sức với các nền tảng công nghệ mới, tham gia vào những dự án chuyển đổi lớn của ngân hàng Có cơ hội học hỏi từ các Chuyên gia, lãnh đạo nội bộ hàng đầu tại MB trong lĩnh vực IT, Tài chính ngân hàng Được trải nghiệm các phương pháp học tập mới và phát triển năng lực theo lộ trình công danh. Hưởng các chính sách hỗ trợ, khuyến khích học tập, nâng cao trình độ và phát triển bản thân (chứng chỉ nghề quốc tế...) Môi trường làm việc lý tưởng với: Những phương pháp làm việc mới đầy sự linh hoạt, sáng tạo và hiệu quả Những người cộng sự thân thiện và tài năng Cơ sở vật chất, không gian làm việc xanh và hiện đại.","Ngân Hàng, Tài Chính, Core Banking, Financial, Business Development","https://topdev.vn/detail-jobs/chuyen-vien-khach-hang-doanh-nghiep-1-3-nam-kinh-nghiem-thanh-tich-tot-va-rat-tot-cn-dan-phuong-xa-dan-phuong-ha-noi-2026td451599-mbbank-2111118?src=topdev_home&medium=superhotjobs","2026-06-09 22:23:51.155833"
